RK,Team,R,HR,RBI,SB,AVG,K,W,SV,ERA,WHIP
1,Pantry Pride Phillies,12,11,11.5,10,11,11,8,6,11,9
2,Kitty Kats,6.5,5,2,12,2,12,10,9,10,11
3,Cincinnati Kid,4,4,7,8,4,10,11,7,12,12
4,WOW !,11,9,10,11,12,7,12,1,1,3
5,Team Trips,5,10,8,5.5,8,3,2,11.5,9,10
6,Ding-a- lingers,9,12,11.5,5.5,9,1,5,4.5,4,4
7,Schmita Kuff,8,1,1,7,7,9,6,10,8,8
8,Salem Ducks,10,7.5,9,3,6,2,1,11.5,2,5
9,Al - Stars,6.5,7.5,5,2,10,4,3.5,4.5,6,2
10,Mean Machine,1,2,3,9,5,6,9,2,7,6
11,The Donaters,2,3,4,1,3,8,3.5,8,5,7
12,Jeter's Gems,3,6,6,4,1,5,7,3,3,1
