RK,Team,R,HR,RBI,SB,AVG,K,W,SVHD,ERA,WHIP
1,Still Dreamin,12,9,10,12,6,10,10,11,5,10
2,GET A KLU ber,4,10,6,10,7,12,6,4.5,12,12
3,AL'S STARS,11,5,12,9,4,11,12,1,10,7
4,GOAT 9,10,8,9,11,2,7,10,12,6,4
5,Big Red Machine,5,12,8,4,12,8,3,10,8,8
6,Tally Waggers,7,1,4,8,10,9,7,7,9,6
6,Donaters 2 Donaters 2,6,11,5,6,1,5,8,8,7,11
8,SR SZN,3,6,7,2,9,6,10,3,11,9
9,BLACK SWAMP TRIBE,9,3,3,5,11,4,4,9,4,1
10,Schmitakuff 12,8,7,11,1,5,2,2,6,3,3
11,Team Double Dingers,2,2,2,7,8,3,5,4.5,1,2
12,7th Inning Scratch,1,4,1,3,3,1,1,2,2,5
