RK,Team,R,HR,RBI,SB,AVG,K,W,ERA,WHIP,SVHD
1,Al - Stars,9,7,9,9,3,9,10,12,11,12
2,Pantry Pride Phillies,11,9,10,8,10,10,7.5,7,9,8.5
2,Ding-a- lingers,12,11,11,12,11,5,9,8,6,5
4,Schmita Kuff,10,12,12,6,9,12,6,6,2,3
5,Cloud Nine,3,6,3,7,4,6,12,10,12,6
6,The Donaters,1,4,5,4,7,7,11,11,10,2
7,Cincinnati Kid,4,2,4,5,12,11,5,4,7,7
8,Kitty Kats,6,3,2,2,5,4,4,9,8,10
9,Black Swamp,8,1,1,11,8,3,3,5,3,8.5
10,Jeter's Gems,7,10,8,10,1,2,2,2,5,4
11,Neutered Sea Monkeys,5,8,7,1,6,8,7.5,3,4,1
12,Salem Ducks,2,5,6,3,2,1,1,1,1,11
