RK,Team,R,HR,RBI,SB,AVG,K,W,ERA,WHIP,SVHD
1,MONEY BALL,11,6.5,7,6,8,8,10,9,10,10
2,GET A KLU ber,9,8,9,12,7,7,8,6,9,6.5
3,Greene Machine,3.5,6.5,6,7,12,10,9,7,12,5
4,Double Dingers,7,11,12,10.5,11,4,3,5,3,8
5,GOAT 9,8,12,11,10.5,10,3,4,3,4,6.5
6,Schmitakuff 12,12,10,10,9,5,6,6.5,2,1,4
6,Andrew's Awesome Team,2,2,3,8,4,12,11.5,11,11,1
8,The Ikkers,10,4,5,3,3,9,5,10,5,11
9,AL STARS,5,5,4,5,2,11,11.5,12,7,2
10,Donaters 2,6,9,8,4,6,5,6.5,4,6,3
11,Riesen’s Sox,1,1,1,1,9,2,1.5,8,8,12
12,Team Meinerleaguers,3.5,3,2,2,1,1,1.5,1,2,9
