RK,Team,R,HR,RBI,SB,AVG,K,W,SVHD,ERA,WHIP
1,BEST IDEA EVER,985,304,1041,132,0.2875,1200,89,46,3.901,1.236
2,GOAT 9,1009,282,971,130,0.2764,1190,76,107,3.408,1.218
3,BALL FOUR BF,972,270,891,72,0.2736,1253,81,110,3.141,1.091
4,NUETERED SEA MONKEYS,1017,345,1054,94,0.2746,998,59,97,3.463,1.183
5,MY BIG UNIT,982,313,1029,114,0.2641,1304,94,0,4.08,1.27
6,7TH INNING SCRATCH,979,257,985,107,0.2762,1152,73,29,3.687,1.152
7,BLACK SWAMP TRIBE,883,205,768,133,0.2588,1038,90,88,3.203,1.163
8,MOULTON BOBCATS,955,286,986,75,0.2769,1117,71,34,3.947,1.207
9,AL'S STARS AS,929,256,858,114,0.2734,1115,78,91,3.676,1.252
10,THUNDERSTICKS 10,865,250,878,122,0.2639,1245,78,11,4.018,1.296
