RK,Team,R,HR,RBI,SB,AVG,K,W,SV,ERA,WHIP
1,MONEY BALL,891,291,888,138,0.277,1250,78,50,3.269,1.128
2,Schmitakuff 12,918,296,942,82,0.2662,1223,81,54,3.61,1.1
3,GET A KLU ber,933,226,853,107,0.2555,1291,67,60,2.831,1.025
4,Just Chillin,930,279,878,90,0.2601,1159,67,72,3.496,1.084
5,GOAT 9,1003,291,966,104,0.2671,1126,68,50,3.963,1.252
6,Donaters 2 Donaters 2,939,297,934,62,0.2585,1298,94,37,3.645,1.195
7,Votto Matic,939,293,909,85,0.265,936,63,38,3.566,1.156
8,BLACK SWAMP TRIBE,868,279,909,76,0.2573,1232,63,58,4.074,1.177
9,The Ikkers,935,262,824,97,0.2642,859,59,61,4.107,1.188
10,Team Double Dingers,867,222,792,108,0.2539,1092,59,58,3.758,1.199
11,AL'S STARS,749,216,752,84,0.258,966,66,34,3.969,1.22
