RK,Team,R,HR,RBI,SB,AVG,K,W,ERA,WHIP,SVHD
1,AL STARS,896,281,904,112,0.2581,1336,67,3.434,1.065,95
2,MONEY BALL,880,249,862,122,0.2628,1210,96,2.895,1.042,49
3,Schmitakuff 12,897,240,864,126,0.2592,1262,78,3.194,1.106,60
4,Double Dingers,906,254,926,119,0.2615,1155,72,3.711,1.173,61
5,Donaters 2,919,269,876,82,0.2609,1213,81,3.64,1.211,9
6,BLACK SWAMP TRIBE,803,183,709,107,0.2494,1257,80,3.152,1.08,77
7,Votto Matic,773,196,760,78,0.2677,1160,71,3.335,1.146,60
8,The Ikkers,920,276,899,111,0.2474,1000,64,3.979,1.229,33
9,GET A KLU ber,887,238,843,56,0.2639,1032,63,3.867,1.202,83
10,GOAT 9,756,246,820,73,0.2473,1088,72,3.548,1.158,74
