RK,Team,,,,,,,,
1,Pantry Pride Phillies,,,,,,,,
2,Kitty Kats,,,,,,,,
3,Cincinnati Kid,,,,,,,,
4,WOW !,,,,,,,,
5,Team Trips,,,,,,,,
6,Ding-a- lingers,,,,,,,,
7,Schmita Kuff,,,,,,,,
8,Salem Ducks,,,,,,,,
9,Al - Stars,,,,,,,,
10,Mean Machine,,,,,,,,
11,The Donaters,,,,,,,,
12,Jeter's Gems,,,,,,,,
Batting,,,,,Pitching,,,,
R,HR,RBI,SB,AVG,K,W,SV,ERA,WHIP
12,11,11.5,10,11,11,8,6,11,9
6.5,5,2,12,2,12,10,9,10,11
4,4,7,8,4,10,11,7,12,12
11,9,10,11,12,7,12,1,1,3
5,10,8,5.5,8,3,2,11.5,9,10
9,12,11.5,5.5,9,1,5,4.5,4,4
8,1,1,7,7,9,6,10,8,8
10,7.5,9,3,6,2,1,11.5,2,5
6.5,7.5,5,2,10,4,3.5,4.5,6,2
1,2,3,9,5,6,9,2,7,6
2,3,4,1,3,8,3.5,8,5,7
3,6,6,4,1,5,7,3,3,1
Total,,,,,,,,,
TOT,CHG,,,,,,,,
100.5,2.5,,,,,,,,
79.5,-0.5,,,,,,,,
79,-1.5,,,,,,,,
77,0,,,,,,,,
72,0,,,,,,,,
65.5,-2.5,,,,,,,,
65,-1,,,,,,,,
57,0,,,,,,,,
51,2,,,,,,,,
50,0.5,,,,,,,,
44.5,0.5,,,,,,,,
39,0,,,,,,,,
